matcher,index,points,range,zone,radius,found,repeat,timesum,timeavg
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.5,0.5,48,100,712,7.127
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.5,0.25,12,100,187,1.877
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.5,0.125,3,100,74,0.748
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.5,0.0625,1,100,38,0.384
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.5,0.03125,1,100,26,0.266
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.5,0.015625,1,100,18,0.187
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.5,0.0078125,1,100,15,0.151
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.25,0.5,51,100,546,5.467
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.25,0.25,9,100,223,2.234
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.25,0.125,2,100,59,0.595
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.25,0.0625,1,100,26,0.267
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.25,0.03125,1,100,17,0.175
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.25,0.015625,1,100,13,0.132
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.25,0.0078125,1,100,11,0.115
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.125,0.5,49,100,516,5.162
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.125,0.25,11,100,150,1.508
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.125,0.125,3,100,54,0.541
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.125,0.0625,1,100,26,0.260
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.125,0.03125,1,100,16,0.163
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.125,0.015625,1,100,11,0.118
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.125,0.0078125,1,100,10,0.105
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0625,0.5,51,100,590,5.903
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0625,0.25,10,100,182,1.829
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0625,0.125,2,100,80,0.809
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0625,0.0625,1,100,26,0.260
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0625,0.03125,1,100,15,0.159
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0625,0.015625,1,100,27,0.278
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0625,0.0078125,1,100,12,0.121
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.03125,0.5,50,100,500,5.006
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.03125,0.25,13,100,150,1.503
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.03125,0.125,2,100,52,0.527
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.03125,0.0625,1,100,25,0.250
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.03125,0.03125,1,100,14,0.146
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.03125,0.015625,1,100,10,0.100
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.03125,0.0078125,1,100,9,0.093
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.015625,0.5,48,100,410,4.110
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.015625,0.25,13,100,113,1.134
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.015625,0.125,4,100,38,0.382
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.015625,0.0625,1,100,14,0.148
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.015625,0.03125,1,100,16,0.161
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.015625,0.015625,1,100,7,0.073
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.015625,0.0078125,1,100,5,0.059
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0078125,0.5,46,100,381,3.811
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0078125,0.25,12,100,112,1.123
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0078125,0.125,3,100,37,0.371
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0078125,0.0625,1,100,14,0.148
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0078125,0.03125,1,100,8,0.081
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0078125,0.015625,1,100,5,0.058
HsqlHtmidMatcherImpl,HTMID,4198401,128.0,0.0078125,0.0078125,1,100,5,0.053
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.5,0.5,205,100,490,4.907
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.5,0.25,47,100,144,1.446
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.5,0.125,13,100,51,0.520
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.5,0.0625,4,100,31,0.318
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.5,0.03125,1,100,9,0.094
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.5,0.015625,1,100,6,0.061
